#2019/11/10 16:23:25: Step time 1.0e-13, Num sims 50000, path: inversor_chain_5, tech: TSMC180, load: 32.00
#Logical Effort: 3.087000e-10, widths: [0.42e-6, 0.84e-6, 1.68e-6, 3.36e-6, 6.72e-6]
Tp, width[0], width[1], width[2], width[3], width[4], load width, Total width, ratio 0 to 1, ratio 1 to 2, ratio 2 to 3, ratio 3 to 4, ratio 4 to load, Average ratio (not including load), Average ratio (including load)
3.208000e-10, 0.42e-6, 8.76e-6, 3.16e-6, 5.62e-6, 2.44e-6, 1.344000e-05, 2.039610e-05, 20.86, 0.36, 1.78, 0.43, 5.52, 5.86, 5.79
3.209000e-10, 0.42e-6, 2.16e-6, 6.22e-6, 10.52e-6, 6.05e-6, 1.344000e-05, 2.536195e-05, 5.14, 2.88, 1.69, 0.57, 2.22, 2.57, 2.50
3.210000e-10, 0.42e-6, 4.61e-6, 9.52e-6, 9.58e-6, 4.47e-6, 1.344000e-05, 2.859571e-05, 10.97, 2.07, 1.01, 0.47, 3.01, 3.63, 3.50
3.212000e-10, 0.42e-6, 6.48e-6, 9.43e-6, 10.88e-6, 3.77e-6, 1.344000e-05, 3.098139e-05, 15.42, 1.46, 1.15, 0.35, 3.56, 4.59, 4.39
3.216000e-10, 0.42e-6, 3.60e-6, 10.70e-6, 8.77e-6, 0.56e-6, 1.344000e-05, 2.404823e-05, 8.58, 2.97, 0.82, 0.06, 23.88, 3.11, 7.26
3.217000e-10, 0.42e-6, 5.02e-6, 3.92e-6, 9.71e-6, 1.54e-6, 1.344000e-05, 2.062558e-05, 11.96, 0.78, 2.48, 0.16, 8.72, 3.84, 4.82
3.218000e-10, 0.42e-6, 5.62e-6, 6.54e-6, 7.59e-6, 8.11e-6, 1.344000e-05, 2.827464e-05, 13.38, 1.16, 1.16, 1.07, 1.66, 4.19, 3.69
3.219000e-10, 0.42e-6, 6.58e-6, 13.42e-6, 11.99e-6, 8.84e-6, 1.344000e-05, 4.125539e-05, 15.67, 2.04, 0.89, 0.74, 1.52, 4.83, 4.17
3.220000e-10, 0.42e-6, 7.91e-6, 9.16e-6, 6.61e-6, 11.41e-6, 1.344000e-05, 3.550842e-05, 18.83, 1.16, 0.72, 1.73, 1.18, 5.61, 4.72
3.221000e-10, 0.42e-6, 5.42e-6, 10.46e-6, 3.89e-6, 11.05e-6, 1.344000e-05, 3.123700e-05, 12.91, 1.93, 0.37, 2.84, 1.22, 4.51, 3.85
3.223000e-10, 0.42e-6, 11.93e-6, 11.93e-6, 8.11e-6, 5.06e-6, 1.344000e-05, 3.745572e-05, 28.40, 1.00, 0.68, 0.62, 2.65, 7.68, 6.67
3.225000e-10, 0.42e-6, 2.05e-6, 1.74e-6, 3.88e-6, 12.56e-6, 1.344000e-05, 2.066084e-05, 4.88, 0.85, 2.23, 3.23, 1.07, 2.80, 2.45
3.226000e-10, 0.42e-6, 3.07e-6, 13.05e-6, 4.69e-6, 0.48e-6, 1.344000e-05, 2.171727e-05, 7.32, 4.25, 0.36, 0.10, 27.87, 3.01, 7.98
3.227000e-10, 0.42e-6, 12.62e-6, 7.62e-6, 3.31e-6, 5.06e-6, 1.344000e-05, 2.903466e-05, 30.05, 0.60, 0.43, 1.53, 2.66, 8.16, 7.06
